date,starting_balance,trading_pnl,withdrawal,ending_balance,drawdown,trade_count,wins,losses,btc_pnl,gold_pnl
2025-11-17,5000.0,-221.641875,0.0,4778.358125,-221.641875,3,0,3,0.0,-221.641875
2025-11-18,4778.358125,-101.562278,0.0,4676.795847,-323.204153,5,2,3,-142.275613,40.713335
2025-11-19,4676.795847,-153.680987,0.0,4523.11486,-476.88514,4,1,3,-139.251596,-14.429391
2025-11-20,4523.11486,25.211452,0.0,4548.326312,-451.673688,5,3,2,-135.477693,160.689145
2025-11-21,4548.326312,174.493662,0.0,4722.819974,-277.180026,5,3,2,133.379669,41.113993
2025-11-22,4722.819974,-140.621965,0.0,4582.198009,-417.801991,2,0,2,-140.621965,0.0
2025-11-23,4582.198009,-136.434946,0.0,4445.763063,-554.236937,2,0,2,-136.434946,0.0
2025-11-24,4445.763063,47.396148,0.0,4493.159211,-506.840789,5,2,3,130.372002,-82.975854
2025-11-25,4493.159211,172.377211,0.0,4665.536422,-334.463578,5,3,2,131.761894,40.615317
2025-11-26,4665.536422,252.764873,0.0,4918.301295,-81.698705,4,3,1,136.816856,115.948018
2025-11-27,4918.301295,144.229185,0.0,5062.530481,-77.094373,2,1,1,144.229185,0.0
2025-11-28,5062.530481,-107.602259,0.0,4954.928222,-184.696632,5,2,3,-150.736845,43.134586
2025-11-29,4954.928222,-147.532988,0.0,4807.395234,-332.22962,2,0,2,-147.532988,0.0
2025-11-30,4807.395234,140.976865,0.0,4948.372099,-191.252755,2,1,1,140.976865,0.0
2025-12-01,4948.372099,415.089595,1000.0,4363.461694,-776.16316,3,3,0,363.348942,51.740652
2025-12-02,4363.461694,167.401448,0.0,4530.863142,-608.761712,5,3,2,127.958514,39.442934
2025-12-03,4530.863142,-214.615256,0.0,4316.247886,-823.376967,5,1,4,-134.90645,-79.708806
2025-12-04,4316.247886,-78.263502,0.0,4237.984385,-901.640469,3,1,2,-128.516281,50.252779
2025-12-05,4237.984385,23.622159,0.0,4261.606544,-878.01831,5,3,2,-126.185985,149.808144
2025-12-06,4261.606544,-126.889335,0.0,4134.717209,-1004.907644,2,0,2,-126.889335,0.0
2025-12-07,4134.717209,121.250582,0.0,4255.967791,-883.657062,2,1,1,121.250582,0.0
2025-12-08,4255.967791,23.722397,0.0,4279.690189,-859.934665,5,3,2,-126.721441,150.443838
2025-12-09,4279.690189,285.999486,0.0,4565.689674,-573.935179,5,4,1,125.501915,160.497571
2025-12-10,4565.689674,247.355474,0.0,4813.045148,-326.579706,4,3,1,133.88885,113.466624
2025-12-11,4813.045148,-227.981487,0.0,4585.063661,-554.561192,5,1,4,-143.308419,-84.673067
2025-12-12,4585.063661,-29.114639,0.0,4555.949023,-583.675831,4,2,2,-136.520271,107.405632
2025-12-13,4555.949023,-135.653382,0.0,4420.29564,-719.329213,2,0,2,-135.653382,0.0
2025-12-14,4420.29564,129.62517,0.0,4549.92081,-589.704044,2,1,1,129.62517,0.0
2025-12-15,4549.92081,-82.500529,0.0,4467.420281,-672.204573,3,1,2,-135.473892,52.973363
2025-12-16,4467.420281,47.627035,0.0,4515.047316,-624.577538,5,2,3,131.0071,-83.380065
2025-12-17,4515.047316,-213.866101,0.0,4301.181215,-838.443639,5,1,4,-134.435534,-79.430567
2025-12-18,4301.181215,-91.420055,0.0,4209.76116,-929.863694,5,2,3,-128.067671,36.647615
2025-12-19,4209.76116,109.671631,0.0,4319.43279,-820.192063,4,2,2,123.451246,-13.779615
2025-12-20,4319.43279,-128.611111,0.0,4190.821679,-948.803175,2,0,2,-128.611111,0.0
2025-12-21,4190.821679,122.895846,0.0,4313.717525,-825.907329,2,1,1,122.895846,0.0
2025-12-22,4313.717525,353.484521,0.0,4667.202046,-472.422807,5,3,2,396.969855,-43.485334
2025-12-23,4667.202046,-221.073276,0.0,4446.12877,-693.496084,5,1,4,-138.965941,-82.107336
2025-12-24,4446.12877,-28.232418,0.0,4417.896352,-721.728502,4,2,2,-132.383484,104.151066
2025-12-25,4417.896352,-131.542864,0.0,4286.353488,-853.271366,2,0,2,-131.542864,0.0
2025-12-26,4286.353488,23.891765,0.0,4310.245253,-829.379601,5,3,2,-127.626175,151.51794
2025-12-27,4310.245253,-128.337552,0.0,4181.9077,-957.717153,2,0,2,-128.337552,0.0
2025-12-28,4181.9077,122.634443,0.0,4304.542144,-835.08271,2,1,1,122.634443,0.0
2025-12-29,4304.542144,187.752533,0.0,4492.294677,-647.330177,5,2,3,396.125491,-208.372958
2025-12-30,4492.294677,324.451828,0.0,4816.746505,-322.878349,5,3,2,413.403418,-88.95159
2025-12-31,4816.746505,-102.378209,0.0,4714.368295,-425.256558,5,2,3,-143.418627,41.040418
2026-01-01,4714.368295,-110.595316,1000.0,3603.772979,-1535.851874,2,0,2,-110.595316,0.0
2026-01-02,3603.772979,38.419717,0.0,3642.192696,-1497.432158,5,2,3,105.680643,-67.260926
2026-01-03,3642.192696,-108.446288,0.0,3533.746408,-1605.878445,2,0,2,-108.446288,0.0
2026-01-04,3533.746408,-105.217299,0.0,3428.529109,-1711.095745,2,0,2,-105.217299,0.0
2026-01-05,3428.529109,-72.872149,0.0,3355.65696,-1783.967894,5,2,3,-102.084454,29.212305
2026-01-06,3355.65696,128.737657,0.0,3484.394616,-1655.230237,5,3,2,98.40464,30.333016
2026-01-07,3484.394616,412.520446,0.0,3896.915062,-1242.709791,4,4,0,320.651415,91.869031
2026-01-08,3896.915062,-128.053858,0.0,3768.861204,-1370.76365,4,1,3,-116.030646,-12.023212
2026-01-09,3768.861204,-68.338122,0.0,3700.523082,-1439.101772,3,1,2,-112.217842,43.87972
2026-01-10,3700.523082,-110.183075,0.0,3590.340007,-1549.284847,2,0,2,-110.183075,0.0
2026-01-11,3590.340007,-106.902374,0.0,3483.437633,-1656.18722,2,0,2,-106.902374,0.0
2026-01-12,3483.437633,-56.791545,0.0,3426.646089,-1712.978765,5,1,4,102.151809,-158.943353
2026-01-13,3426.646089,-55.865655,0.0,3370.780434,-1768.84442,5,1,4,100.486397,-156.352051
2026-01-14,3370.780434,-71.644722,0.0,3299.135711,-1840.489142,5,2,3,-100.364987,28.720265
2026-01-15,3299.135711,126.569255,0.0,3425.704966,-1713.919888,5,3,2,96.747155,29.8221
2026-01-16,3425.704966,131.425004,0.0,3557.12997,-1582.494883,5,3,2,100.458798,30.966206
2026-01-17,3557.12997,-105.913545,0.0,3451.216425,-1688.408428,2,0,2,-105.913545,0.0
2026-01-18,3451.216425,-102.759969,0.0,3348.456456,-1791.168397,2,0,2,-102.759969,0.0
2026-01-19,3348.456456,-21.262322,0.0,3327.194134,-1812.430719,4,2,2,-99.700291,78.437969
2026-01-20,3327.194134,-70.718311,0.0,3256.475823,-1883.149031,5,2,3,-99.067205,28.348894
2026-01-21,3256.475823,124.932635,0.0,3381.408458,-1758.216396,5,3,2,95.496154,29.436482
2026-01-22,3381.408458,-71.870617,0.0,3309.537841,-1830.087013,5,2,3,-100.681437,28.81082
2026-01-23,3309.537841,126.968326,0.0,3436.506167,-1703.118687,5,3,2,97.052197,29.916129
2026-01-24,3436.506167,-102.321971,0.0,3334.184196,-1805.440658,2,0,2,-102.321971,0.0
2026-01-25,3334.184196,97.774952,0.0,3431.959147,-1707.665706,2,1,1,97.774952,0.0
2026-01-26,3431.959147,-21.792555,0.0,3410.166593,-1729.458261,4,2,2,-102.186584,80.394029
2026-01-27,3410.166593,142.125172,0.0,3552.291765,-1587.333089,3,2,1,100.003135,42.122037
2026-01-28,3552.291765,360.966088,0.0,3913.257853,-1226.367001,5,4,1,326.89965,34.066438
2026-01-29,3913.257853,-284.820594,0.0,3628.437259,-1511.187595,5,0,5,-116.517253,-168.303341
2026-01-30,3628.437259,-77.121125,0.0,3551.316134,-1588.30872,5,2,3,-108.680041,31.558916
2026-01-31,3551.316134,326.809867,0.0,3878.126001,-1261.498853,2,2,0,326.809867,0.0
2026-02-01,3878.126001,-85.696202,1000.0,2792.429799,-2347.195054,2,0,2,-85.696202,0.0
2026-02-02,2792.429799,151.285533,0.0,2943.715332,-2195.909521,4,3,1,81.888004,69.397529
2026-02-03,2943.715332,-62.567608,0.0,2881.147725,-2258.477129,5,2,3,-87.649124,25.081516
2026-02-04,2881.147725,-136.472508,0.0,2744.675217,-2394.949637,5,1,4,-85.786174,-50.686334
2026-02-05,2744.675217,-49.767274,0.0,2694.907942,-2444.716911,3,1,2,-81.722705,31.95543
2026-02-06,2694.907942,15.021184,0.0,2709.929127,-2429.695727,5,3,2,-80.240884,95.262068
2026-02-07,2709.929127,-80.68814,0.0,2629.240987,-2510.383866,2,0,2,-80.68814,0.0
2026-02-08,2629.240987,77.102492,0.0,2706.343479,-2433.281375,2,1,1,77.102492,0.0
2026-02-09,2706.343479,28.852247,0.0,2735.195727,-2404.429127,5,2,3,79.363523,-50.511275
2026-02-10,2735.195727,15.245745,0.0,2750.441472,-2389.183382,5,3,2,-81.440453,96.686198
2026-02-11,2750.441472,-17.464994,0.0,2732.976477,-2406.648376,4,2,2,-81.894395,64.429401
