date,starting_balance,trading_pnl,withdrawal,ending_balance,drawdown,trade_count,wins,losses,btc_pnl,gold_pnl
2025-11-17,5000.0,-221.641875,0.0,4778.358125,-221.641875,3,0,3,0.0,-221.641875
2025-11-18,4778.358125,-101.562278,0.0,4676.795847,-323.204153,5,2,3,-142.275613,40.713335
2025-11-19,4676.795847,-153.680987,0.0,4523.11486,-476.88514,4,1,3,-139.251596,-14.429391
2025-11-20,4523.11486,25.211452,0.0,4548.326312,-451.673688,5,3,2,-135.477693,160.689145
2025-11-21,4548.326312,174.493662,0.0,4722.819974,-277.180026,5,3,2,133.379669,41.113993
2025-11-22,4722.819974,-140.621965,0.0,4582.198009,-417.801991,2,0,2,-140.621965,0.0
2025-11-23,4582.198009,-136.434946,0.0,4445.763063,-554.236937,2,0,2,-136.434946,0.0
2025-11-24,4445.763063,47.396148,0.0,4493.159211,-506.840789,5,2,3,130.372002,-82.975854
2025-11-25,4493.159211,172.377211,0.0,4665.536422,-334.463578,5,3,2,131.761894,40.615317
2025-11-26,4665.536422,252.764873,0.0,4918.301295,-81.698705,4,3,1,136.816856,115.948018
2025-11-27,4918.301295,144.229185,0.0,5062.530481,-77.094373,2,1,1,144.229185,0.0
2025-11-28,5062.530481,-107.602259,0.0,4954.928222,-184.696632,5,2,3,-150.736845,43.134586
2025-11-29,4954.928222,-147.532988,0.0,4807.395234,-332.22962,2,0,2,-147.532988,0.0
2025-11-30,4807.395234,140.976865,0.0,4948.372099,-191.252755,2,1,1,140.976865,0.0
2025-12-01,4948.372099,520.218895,0.0,5468.590994,0.0,3,3,0,455.373942,64.844952
2025-12-02,5468.590994,209.799034,0.0,5678.390028,-18.114886,5,3,2,160.366431,49.432603
2025-12-03,5678.390028,-268.970633,0.0,5409.419395,-287.085519,5,1,4,-169.074063,-99.89657
2025-12-04,5409.419395,-98.085215,0.0,5311.33418,-385.170734,3,1,2,-161.065462,62.980247
2025-12-05,5311.33418,29.604919,0.0,5340.939099,-355.565815,5,3,2,-158.144975,187.749894
2025-12-06,5340.939099,-159.026462,0.0,5181.912637,-514.592277,2,0,2,-159.026462,0.0
2025-12-07,5181.912637,151.959588,0.0,5333.872225,-362.632689,2,1,1,151.959588,0.0
2025-12-08,5333.872225,29.730544,0.0,5363.602769,-332.902145,5,3,2,-158.816046,188.546589
2025-12-09,5363.602769,358.434271,0.0,5722.03704,0.0,5,4,1,157.287651,201.14662
2025-12-10,5722.03704,310.002931,0.0,6032.039971,0.0,4,3,1,167.798736,142.204195
2025-12-11,6032.039971,-285.722115,0.0,5746.317856,-285.722115,5,1,4,-179.60399,-106.118125
2025-12-12,5746.317856,-36.488472,0.0,5709.829383,-322.210588,4,2,2,-171.096614,134.608142
2025-12-13,5709.829383,-170.01017,0.0,5539.819214,-492.220757,2,0,2,-170.01017,0.0
2025-12-14,5539.819214,162.455198,0.0,5702.274412,-329.765559,2,1,1,162.455198,0.0
2025-12-15,5702.274412,-103.39535,0.0,5598.879062,-433.160909,3,1,2,-169.785221,66.38987
2025-12-16,5598.879062,59.689483,0.0,5658.568545,-373.471426,5,2,3,164.187128,-104.497645
2025-12-17,5658.568545,-268.031741,0.0,5390.536804,-641.503167,5,1,4,-168.483878,-99.547862
2025-12-18,5390.536804,-114.573915,0.0,5275.962889,-756.077082,5,2,3,-160.503233,45.929318
2025-12-19,5275.962889,137.448048,0.0,5413.410937,-618.629034,4,2,2,154.717612,-17.269564
2025-12-20,5413.410937,-161.184311,0.0,5252.226626,-779.813345,2,0,2,-161.184311,0.0
2025-12-21,5252.226626,154.021546,0.0,5406.248172,-625.791799,2,1,1,154.021546,0.0
2025-12-22,5406.248172,443.01117,0.0,5849.259342,-182.780629,5,3,2,497.509988,-54.498818
2025-12-23,5849.259342,-277.06427,0.0,5572.195072,-459.844899,5,1,4,-174.161697,-102.902573
2025-12-24,5572.195072,-35.382812,0.0,5536.81226,-495.227711,4,2,2,-165.912108,130.529296
2025-12-25,5536.81226,-164.858585,0.0,5371.953675,-660.086296,2,0,2,-164.858585,0.0
2025-12-26,5371.953675,29.942806,0.0,5401.896481,-630.14349,5,3,2,-159.949921,189.892727
2025-12-27,5401.896481,-160.841468,0.0,5241.055013,-790.984958,2,0,2,-160.841468,0.0
2025-12-28,5241.055013,153.693938,0.0,5394.748952,-637.291019,2,1,1,153.693938,0.0
2025-12-29,5394.748952,235.304417,0.0,5630.053369,-401.986602,5,2,3,496.451772,-261.147355
2025-12-30,5630.053369,406.625397,0.0,6036.678766,-185.258172,5,3,2,518.105661,-111.480264
2025-12-31,6036.678766,-128.30743,0.0,5908.371337,-313.565602,5,2,3,-179.74211,51.434681
2026-01-01,5908.371337,-161.629768,479.999619,5266.74195,-955.194989,2,0,2,-161.629768,0.0
2026-01-02,5266.74195,56.14858,0.0,5322.89053,-899.046409,5,2,3,154.447208,-98.298628
2026-01-03,5322.89053,-158.489066,0.0,5164.401464,-1057.535475,2,0,2,-158.489066,0.0
2026-01-04,5164.401464,-153.770054,0.0,5010.63141,-1211.305528,2,0,2,-153.770054,0.0
2026-01-05,5010.63141,-106.499163,0.0,4904.132247,-1317.804692,5,2,3,-149.19155,42.692387
2026-01-06,4904.132247,188.143932,0.0,5092.276179,-1129.66076,5,3,2,143.813678,44.330253
2026-01-07,5092.276179,602.878913,0.0,5695.155092,-526.781847,4,4,0,468.616715,134.262198
2026-01-08,5695.155092,-187.144593,0.0,5508.010499,-713.92644,4,1,3,-169.573243,-17.57135
2026-01-09,5508.010499,-99.872899,0.0,5408.1376,-813.799339,3,1,2,-164.001013,64.128114
2026-01-10,5408.1376,-161.027297,0.0,5247.110303,-974.826636,2,0,2,-161.027297,0.0
2026-01-11,5247.110303,-156.232709,0.0,5090.877594,-1131.059345,2,0,2,-156.232709,0.0
2026-01-12,5090.877594,-82.998128,0.0,5007.879466,-1214.057473,5,1,4,149.289985,-232.288114
2026-01-13,5007.879466,-81.644984,0.0,4926.234482,-1295.702457,5,1,4,146.856065,-228.50105
2026-01-14,4926.234482,-104.705337,0.0,4821.529145,-1400.407794,5,2,3,-146.678632,41.973295
2026-01-15,4821.529145,184.974916,0.0,5006.50406,-1215.432878,5,3,2,141.391342,43.583574
2026-01-16,5006.50406,192.071361,0.0,5198.575422,-1023.361517,5,3,2,146.815732,45.25563
2026-01-17,5198.575422,-154.787583,0.0,5043.787839,-1178.1491,2,0,2,-154.787583,0.0
2026-01-18,5043.787839,-150.178783,0.0,4893.609056,-1328.327883,2,0,2,-150.178783,0.0
2026-01-19,4893.609056,-31.073867,0.0,4862.535188,-1359.40175,4,2,2,-145.70721,114.633342
2026-01-20,4862.535188,-103.351431,0.0,4759.183757,-1462.753182,5,2,3,-144.781985,41.430554
2026-01-21,4759.183757,182.583074,0.0,4941.766831,-1280.170107,5,3,2,139.563064,43.020011
2026-01-22,4941.766831,-105.035471,0.0,4836.73136,-1385.205579,5,2,3,-147.141107,42.105636
2026-01-23,4836.73136,185.558139,0.0,5022.289499,-1199.64744,5,3,2,141.837147,43.720992
2026-01-24,5022.289499,-149.53867,0.0,4872.750829,-1349.18611,2,0,2,-149.53867,0.0
2026-01-25,4872.750829,142.893418,0.0,5015.644247,-1206.292691,2,1,1,142.893418,0.0
2026-01-26,5015.644247,-31.848777,0.0,4983.79547,-1238.141469,4,2,2,-149.340807,117.49203
2026-01-27,4983.79547,207.709145,0.0,5191.504616,-1030.432323,3,2,1,146.149802,61.559343
2026-01-28,5191.504616,527.534683,0.0,5719.039299,-502.89764,5,4,1,477.748212,49.786471
2026-01-29,5719.039299,-416.251683,0.0,5302.787616,-919.149323,5,0,5,-170.284395,-245.967288
2026-01-30,5302.787616,-112.708838,0.0,5190.078778,-1031.858161,5,2,3,-158.830686,46.121848
2026-01-31,5190.078778,477.617,0.0,5667.695777,-554.241162,2,2,0,477.617,0.0
2026-02-01,5667.695777,-165.192705,119.66203,5382.841043,-839.095896,2,0,2,-165.192705,0.0
2026-02-02,5382.841043,291.626302,0.0,5674.467345,-547.469594,4,3,1,157.851814,133.774488
2026-02-03,5674.467345,-120.608757,0.0,5553.858588,-668.078351,5,2,3,-168.957265,48.348509
2026-02-04,5553.858588,-263.071901,0.0,5290.786687,-931.150252,5,1,4,-165.366139,-97.705762
2026-02-05,5290.786687,-95.934131,0.0,5194.852556,-1027.084383,3,1,2,-157.533174,61.599042
2026-02-06,5194.852556,28.95566,0.0,5223.808216,-998.128723,5,3,2,-154.676735,183.632395
2026-02-07,5223.808216,-155.53889,0.0,5068.269326,-1153.667613,2,0,2,-155.53889,0.0
2026-02-08,5068.269326,148.626998,0.0,5216.896324,-1005.040615,2,1,1,148.626998,0.0
2026-02-09,5216.896324,55.617177,0.0,5272.513501,-949.423438,5,2,3,152.985485,-97.368308
2026-02-10,5272.513501,29.388535,0.0,5301.902036,-920.034903,5,3,2,-156.989089,186.377625
2026-02-11,5301.902036,-33.666482,0.0,5268.235554,-953.701384,4,2,2,-157.864133,124.197651
2026-02-12,5268.235554,-85.889649,0.0,5182.345905,-1039.591033,5,1,4,154.491008,-240.380657
