symbol,entry_time,exit_time,direction,size,risk_amount,stop_distance,entry_price,exit_price,pnl,starting_balance_before_trade,balance_after_trade,drawdown_after_trade,exit_reason
GOLD,2025-11-17T18:55:00+00:00,2025-11-17T19:10:00+00:00,BUY,13.54227123,75.0,5.53821429,4062.71,4057.17178571,-75.0,5000.0,4925.0,-75.0,stop_loss
GOLD,2025-11-17T19:10:00+00:00,2025-11-17T19:25:00+00:00,BUY,11.73217628,73.875,6.29678571,4060.69,4054.39321429,-73.875,4925.0,4851.125,-148.875,stop_loss
GOLD,2025-11-17T19:25:00+00:00,2025-11-17T19:30:00+00:00,BUY,10.44536297,72.766875,6.96642857,4056.64,4049.67357143,-72.766875,4851.125,4778.358125,-221.641875,stop_loss
BTCUSD,2025-11-18T12:10:00+00:00,2025-11-18T12:15:00+00:00,SELL,0.44992947,71.67537188,159.30357143,91027.1,91186.40357143,-71.67537187,4778.358125,4706.68275313,-293.31724687,stop_loss
BTCUSD,2025-11-18T13:35:00+00:00,2025-11-18T13:40:00+00:00,SELL,0.37455838,70.6002413,188.48928571,90988.3,91176.78928571,-70.6002413,4706.68275313,4636.08251183,-363.91748817,stop_loss
GOLD,2025-11-18T13:35:00+00:00,2025-11-18T14:15:00+00:00,SELL,7.00314579,69.54123768,9.93,4066.04,4075.97,-69.54123768,4636.08251183,4566.54127415,-433.45872585,stop_loss
GOLD,2025-11-18T14:15:00+00:00,2025-11-18T14:30:00+00:00,SELL,6.94606452,68.49811911,9.86142857,4080.4,4072.51085714,54.79849529,4566.54127415,4621.33976944,-378.66023056,take_profit
GOLD,2025-11-18T14:30:00+00:00,2025-11-18T14:50:00+00:00,SELL,6.81900893,69.32009654,10.16571429,4074.99,4066.85742857,55.45607723,4621.33976944,4676.79584667,-323.20415333,take_profit
BTCUSD,2025-11-19T14:05:00+00:00,2025-11-19T14:10:00+00:00,SELL,0.39969361,70.1519377,175.51428571,91135.65,91311.16428571,-70.1519377,4676.79584667,4606.64390897,-393.35609103,stop_loss
BTCUSD,2025-11-19T14:25:00+00:00,2025-11-19T14:30:00+00:00,SELL,0.35201689,69.09965863,196.29642857,91061.9,91258.19642857,-69.09965863,4606.64390897,4537.54425034,-462.45574966,stop_loss
GOLD,2025-11-19T16:25:00+00:00,2025-11-19T17:00:00+00:00,BUY,4.89298463,68.06316376,13.91035714,4074.42,4060.50964286,-68.06316376,4537.54425034,4469.48108658,-530.51891342,stop_loss
GOLD,2025-11-19T17:00:00+00:00,2025-11-19T17:25:00+00:00,BUY,4.66230052,67.0422163,14.37964286,4060.85,4072.35371429,53.63377304,4469.48108658,4523.11485962,-476.88514038,take_profit
BTCUSD,2025-11-20T09:45:00+00:00,2025-11-20T09:50:00+00:00,SELL,0.53260857,67.84672289,127.38571429,91409.55,91536.93571429,-67.84672289,4523.11485962,4455.26813673,-544.73186327,stop_loss
GOLD,2025-11-20T13:00:00+00:00,2025-11-20T13:30:00+00:00,SELL,8.42546993,66.82902205,7.93178571,4087.81,4081.46457143,53.46321764,4455.26813673,4508.73135437,-491.26864563,take_profit
BTCUSD,2025-11-20T13:40:00+00:00,2025-11-20T13:50:00+00:00,SELL,0.27656485,67.63097032,244.53928571,91545.65,91790.18928571,-67.63097032,4508.73135437,4441.10038405,-558.89961595,stop_loss
GOLD,2025-11-20T16:55:00+00:00,2025-11-20T17:20:00+00:00,BUY,4.94751376,66.61650576,13.46464286,4048.99,4059.76171429,53.29320461,4441.10038405,4494.39358866,-505.60641134,take_profit
GOLD,2025-11-20T19:25:00+00:00,2025-11-20T20:10:00+00:00,SELL,7.5418327,67.41590383,8.93892857,4084.38,4077.22885714,53.93272306,4494.39358866,4548.32631173,-451.67368827,take_profit
BTCUSD,2025-11-21T07:15:00+00:00,2025-11-21T07:30:00+00:00,SELL,0.37593912,68.22489468,181.47857143,85309.4,84764.96428571,204.67468403,4548.32631173,4753.00099575,-246.99900425,take_profit
BTCUSD,2025-11-21T07:30:00+00:00,2025-11-21T07:35:00+00:00,SELL,0.17665865,71.29501494,403.575,83367.4,83770.975,-71.29501494,4753.00099575,4681.70598082,-318.29401918,stop_loss
GOLD,2025-11-21T14:00:00+00:00,2025-11-21T14:15:00+00:00,SELL,8.19605899,70.22558971,8.56821429,4078.35,4071.49542857,56.18047177,4681.70598082,4737.88645259,-262.11354741,take_profit
GOLD,2025-11-21T16:45:00+00:00,2025-11-21T16:50:00+00:00,SELL,8.06841143,71.06829679,8.80821429,4082.6,4091.40821429,-71.06829679,4737.88645259,4666.8181558,-333.1818442,stop_loss
GOLD,2025-11-21T16:50:00+00:00,2025-11-21T17:10:00+00:00,SELL,7.4312391,70.00227234,9.42,4093.92,4086.384,56.00181787,4666.8181558,4722.81997367,-277.18002633,take_profit
BTCUSD,2025-11-22T10:20:00+00:00,2025-11-22T11:05:00+00:00,SELL,0.41177978,70.84229961,172.03928571,83765.3,83937.33928571,-70.84229961,4722.81997367,4651.97767406,-348.02232594,stop_loss
BTCUSD,2025-11-22T14:10:00+00:00,2025-11-22T14:45:00+00:00,BUY,0.42846223,69.77966511,162.86071429,84376.05,84213.18928571,-69.77966511,4651.97767406,4582.19800895,-417.80199105,stop_loss
BTCUSD,2025-11-23T08:55:00+00:00,2025-11-23T11:00:00+00:00,BUY,0.57168583,68.73297013,120.22857143,86093.35,85973.12142857,-68.73297013,4582.19800895,4513.46503882,-486.53496118,stop_loss
BTCUSD,2025-11-23T12:10:00+00:00,2025-11-23T13:10:00+00:00,BUY,0.48105753,67.70197558,140.73571429,86557.4,86416.66428571,-67.70197558,4513.46503882,4445.76306324,-554.23693676,stop_loss
BTCUSD,2025-11-24T09:05:00+00:00,2025-11-24T09:20:00+00:00,SELL,0.40188986,66.68644595,165.93214286,86533.15,86035.35357143,200.05933785,4445.76306324,4645.82240108,-354.17759892,take_profit
BTCUSD,2025-11-24T09:20:00+00:00,2025-11-24T11:35:00+00:00,SELL,0.38499012,69.68733602,181.01071429,86002.75,86183.76071429,-69.68733602,4645.82240108,4576.13506507,-423.86493493,stop_loss
GOLD,2025-11-24T13:15:00+00:00,2025-11-24T13:40:00+00:00,SELL,11.44442496,68.64202598,5.99785714,4081.43,4076.63171429,54.91362078,4576.13506507,4631.04868585,-368.95131415,take_profit
GOLD,2025-11-24T15:10:00+00:00,2025-11-24T18:35:00+00:00,SELL,8.18309751,69.46573029,8.48892857,4092.35,4100.83892857,-69.46573029,4631.04868585,4561.58295556,-438.41704444,stop_loss
GOLD,2025-11-24T18:35:00+00:00,2025-11-24T18:50:00+00:00,SELL,11.50255068,68.42374433,5.94857143,4111.68,4117.62857143,-68.42374433,4561.58295556,4493.15921123,-506.84078877,stop_loss
BTCUSD,2025-11-25T07:25:00+00:00,2025-11-25T07:50:00+00:00,SELL,0.6148395,67.39738817,109.61785714,87702.5,87373.64642857,202.19216451,4493.15921123,4695.35137573,-304.64862427,take_profit
BTCUSD,2025-11-25T07:50:00+00:00,2025-11-25T08:20:00+00:00,SELL,0.53203679,70.43027064,132.37857143,87394.4,87526.77857143,-70.43027064,4695.35137573,4624.92110509,-375.07889491,stop_loss
GOLD,2025-11-25T14:45:00+00:00,2025-11-25T14:55:00+00:00,BUY,6.90066029,69.37381658,10.05321429,4115.17,4123.21257143,55.49905326,4624.92110509,4680.42015836,-319.57984164,take_profit
GOLD,2025-11-25T17:05:00+00:00,2025-11-25T17:30:00+00:00,SELL,7.97345853,70.20630238,8.805,4150.57,4159.375,-70.20630238,4680.42015836,4610.21385598,-389.78614402,stop_loss
GOLD,2025-11-25T17:30:00+00:00,2025-11-25T17:35:00+00:00,SELL,8.22099019,69.15320784,8.41178571,4157.49,4150.76057143,55.32256627,4610.21385598,4665.53642225,-334.46357775,take_profit
BTCUSD,2025-11-26T07:55:00+00:00,2025-11-26T08:00:00+00:00,BUY,0.78453189,69.98304633,89.20357143,87906.85,87817.64642857,-69.98304633,4665.53642225,4595.55337592,-404.44662408,stop_loss
BTCUSD,2025-11-26T08:55:00+00:00,2025-11-26T09:20:00+00:00,SELL,0.75000288,68.93330064,91.91071429,87388.9,87113.16785714,206.79990192,4595.55337592,4802.35327783,-197.64672217,take_profit
GOLD,2025-11-26T14:25:00+00:00,2025-11-26T14:30:00+00:00,BUY,7.94903593,72.03529917,9.06214286,4142.28,4149.52971429,57.62823933,4802.35327783,4859.98151717,-140.01848283,take_profit
GOLD,2025-11-26T16:40:00+00:00,2025-11-26T18:30:00+00:00,SELL,13.46788227,72.89972276,5.41285714,4167.55,4163.21971429,58.31977821,4859.98151717,4918.30129537,-81.69870463,take_profit
BTCUSD,2025-11-27T08:50:00+00:00,2025-11-27T09:15:00+00:00,BUY,0.98394139,73.77451943,74.97857143,91508.2,91733.13571429,221.32355829,4918.30129537,5139.62485367,0.0,take_profit
BTCUSD,2025-11-27T09:15:00+00:00,2025-11-27T09:20:00+00:00,BUY,1.05079221,77.0943728,73.36785714,91747.05,91673.68214286,-77.0943728,5139.62485367,5062.53048086,-77.0943728,stop_loss
BTCUSD,2025-11-28T07:40:00+00:00,2025-11-28T08:10:00+00:00,SELL,0.83109084,75.93795721,91.37142857,91067.3,91158.67142857,-75.93795721,5062.53048086,4986.59252365,-153.03233002,stop_loss
BTCUSD,2025-11-28T10:50:00+00:00,2025-11-28T11:00:00+00:00,BUY,0.94948266,74.79888785,78.77857143,91834.7,91755.92142857,-74.79888785,4986.59252365,4911.79363579,-227.83121787,stop_loss
GOLD,2025-11-28T14:15:00+00:00,2025-11-28T14:35:00+00:00,SELL,10.24815364,73.67690454,7.18928571,4194.03,4201.21928571,-73.67690454,4911.79363579,4838.11673126,-301.50812241,stop_loss
GOLD,2025-11-28T14:35:00+00:00,2025-11-28T14:40:00+00:00,SELL,8.69717954,72.57175097,8.34428571,4203.15,4196.47457143,58.05740078,4838.11673126,4896.17413203,-243.45072163,take_profit
GOLD,2025-11-28T14:40:00+00:00,2025-11-28T15:00:00+00:00,SELL,8.26956664,73.44261198,8.88107143,4199.37,4192.26514286,58.75408958,4896.17413203,4954.92822162,-184.69663205,take_profit
BTCUSD,2025-11-29T08:00:00+00:00,2025-11-29T08:05:00+00:00,SELL,1.12575455,74.32392332,66.02142857,90549.95,90615.97142857,-74.32392332,4954.92822162,4880.60429829,-259.02055537,stop_loss
