instrument,action,size,entry_price,stop_loss,take_profit,entry_time,exit_price,exit_time,pnl,exit_reason
GOLD,SELL,15.105740181269132,4066.04,4075.97,4058.096,2025-11-18T13:35:00+00:00,4075.97,2025-11-18T14:15:00+00:00,-150.0,stop_loss
GOLD,SELL,14.982616253802947,4080.4,4090.2614285714285,4072.5108571428573,2025-11-18T14:15:00+00:00,4072.5108571428573,2025-11-18T14:30:00+00:00,118.20000000000137,take_profit
GOLD,SELL,14.708558178752702,4074.99,4085.1557142857137,4066.8574285714285,2025-11-18T14:30:00+00:00,4066.8574285714285,2025-11-18T14:50:00+00:00,119.61840000000267,take_profit
GOLD,SELL,20.08953877667145,4073.27,4080.802142857143,4067.244285714286,2025-11-18T17:40:00+00:00,4067.244285714286,2025-11-18T18:15:00+00:00,121.05382079999455,take_profit
GOLD,BUY,11.008565900886035,4074.42,4060.5096428571433,4085.5482857142856,2025-11-19T16:25:00+00:00,4060.5096428571433,2025-11-19T17:00:00+00:00,-153.13308331199997,stop_loss
GOLD,BUY,10.489557255407876,4060.85,4046.4703571428568,4072.3537142857144,2025-11-19T17:00:00+00:00,4072.3537142857144,2025-11-19T17:25:00+00:00,120.668869649856,take_profit
GOLD,SELL,19.244861826277642,4087.81,4095.7417857142855,4081.4645714285716,2025-11-20T13:00:00+00:00,4081.4645714285716,2025-11-20T13:30:00+00:00,122.11689608565251,take_profit
GOLD,BUY,11.472853397400367,4048.99,4035.525357142857,4059.761714285714,2025-11-20T16:55:00+00:00,4059.761714285714,2025-11-20T17:20:00+00:00,123.58229883868106,take_profit
GOLD,SELL,17.488853029949418,4084.38,4093.318928571429,4077.228857142857,2025-11-20T19:25:00+00:00,4077.228857142857,2025-11-20T20:10:00+00:00,125.06528642474625,take_profit
GOLD,SELL,18.46447603336522,4078.35,4086.918214285714,4071.4954285714284,2025-11-21T14:00:00+00:00,4071.4954285714284,2025-11-21T14:15:00+00:00,126.56606986184826,take_profit
GOLD,SELL,18.17690546367637,4082.6,4091.408214285714,4075.5534285714284,2025-11-21T16:45:00+00:00,4091.408214285714,2025-11-21T16:50:00+00:00,-160.10607837523173,stop_loss
GOLD,SELL,16.74145299358833,4093.92,4103.34,4086.384,2025-11-21T16:50:00+00:00,4086.384,2025-11-21T17:10:00+00:00,126.16358975968262,take_profit
GOLD,SELL,27.983683068996147,4090.62,4096.323214285714,4086.0574285714283,2025-11-21T19:25:00+00:00,4086.0574285714283,2025-11-21T19:40:00+00:00,127.67755283680388,take_profit
GOLD,SELL,26.928301306890884,4081.4300000000003,4087.4278571428576,4076.6317142857147,2025-11-24T13:15:00+00:00,4076.6317142857147,2025-11-24T13:40:00+00:00,129.2096834708331,take_profit
GOLD,SELL,19.254520545825347,4092.35,4100.838928571428,4085.558857142857,2025-11-24T15:10:00+00:00,4100.838928571428,2025-11-24T18:35:00+00:00,-163.45024959061308,stop_loss
GOLD,SELL,27.065068946381896,4111.68,4117.628571428571,4106.921142857143,2025-11-24T18:35:00+00:00,4117.628571428571,2025-11-24T18:50:00+00:00,-160.99849584675388,stop_loss
GOLD,SELL,20.16777270042958,4120.08,4127.943214285714,4113.789428571428,2025-11-24T18:50:00+00:00,4127.943214285714,2025-11-24T20:30:00+00:00,-158.58351840905257,stop_loss
GOLD,BUY,15.537793306056798,4115.17,4105.116785714286,4123.212571428571,2025-11-25T14:45:00+00:00,4123.212571428571,2025-11-25T14:55:00+00:00,124.96381250633627,take_profit
GOLD,SELL,17.9533472822854,4150.57,4159.374999999999,4143.526,2025-11-25T17:05:00+00:00,4159.374999999999,2025-11-25T17:30:00+00:00,-158.07922282051183,stop_loss
GOLD,SELL,18.510699127031824,4157.49,4165.901785714285,4150.760571428572,2025-11-25T17:30:00+00:00,4150.760571428572,2025-11-25T17:35:00+00:00,124.56642758255323,take_profit
GOLD,BUY,17.38844039163828,4142.280000000001,4133.217857142858,4149.529714285715,2025-11-26T14:25:00+00:00,4149.529714285715,2025-11-26T14:30:00+00:00,126.06122471355711,take_profit
GOLD,SELL,29.460864207930435,4167.549999999999,4172.962857142857,4163.219714285713,2025-11-26T16:40:00+00:00,4163.219714285713,2025-11-26T18:30:00+00:00,127.57395941012736,take_profit
GOLD,SELL,22.44743985249057,4194.03,4201.219285714285,4188.278571428571,2025-11-28T14:15:00+00:00,4201.219285714285,2025-11-28T14:35:00+00:00,-161.3810586537977,stop_loss
GOLD,SELL,19.050203722273114,4203.15,4211.494285714285,4196.474571428571,2025-11-28T14:35:00+00:00,4196.474571428571,2025-11-28T14:40:00+00:00,127.16827421919952,take_profit
GOLD,SELL,18.113565258551628,4199.37,4208.251071428571,4192.265142857143,2025-11-28T14:40:00+00:00,4192.265142857143,2025-11-28T15:00:00+00:00,128.69429350983285,take_profit
GOLD,SELL,16.487094459337964,4196.24,4206.114285714286,4188.340571428571,2025-11-28T15:00:00+00:00,4188.340571428571,2025-11-28T15:10:00+00:00,130.23862503194096,take_profit
GOLD,BUY,15.398398086091415,4225.23,4214.530714285714,4233.789428571428,2025-12-01T14:40:00+00:00,4233.789428571428,2025-12-01T14:45:00+00:00,131.80148853232427,take_profit
GOLD,SELL,23.098355963660048,4224.26,4231.478214285714,4218.485428571429,2025-12-02T14:15:00+00:00,4218.485428571429,2025-12-02T14:40:00+00:00,133.38310639471635,take_profit
GOLD,BUY,15.54907065725539,4188.299999999999,4177.44857142857,4196.981142857142,2025-12-02T15:25:00+00:00,4177.44857142857,2025-12-02T15:50:00+00:00,-168.72962958931095,stop_loss
