instrument,action,size,entry_price,stop_loss,take_profit,entry_time,exit_price,exit_time,pnl,exit_reason
GBPJPY,BUY,1.0,208.9845,209.13925,209.26299999999998,2026-02-20T07:55:00+00:00,209.26299999999998,2026-02-20T08:48:00+00:00,0.27849999999997976,take_profit
GBPJPY,BUY,1.0,210.0935,210.1495,210.40550000000002,2026-02-24T07:24:00+00:00,210.1495,2026-02-24T07:33:00+00:00,0.055999999999983174,trailing_stop
GBPJPY,BUY,1.0,210.14999999999998,210.31,210.46299999999994,2026-02-24T07:28:00+00:00,210.46299999999994,2026-02-24T07:58:00+00:00,0.31299999999995975,take_profit
GBPJPY,BUY,1.0,209.975,210.31900000000002,210.53699999999998,2026-02-24T07:17:00+00:00,210.53699999999998,2026-02-24T08:22:00+00:00,0.5619999999999834,take_profit
GBPJPY,SELL,1.0,209.6985,209.61599999999999,209.4935,2026-03-02T07:48:00+00:00,209.61599999999999,2026-03-02T07:51:00+00:00,0.08250000000001023,trailing_stop
GBPJPY,SELL,1.0,209.651,209.5155,209.33500000000004,2026-03-02T07:18:00+00:00,209.5155,2026-03-02T08:41:00+00:00,0.1355000000000075,trailing_stop
GBPJPY,SELL,1.0,209.6415,209.52025,209.31600000000003,2026-03-02T07:20:00+00:00,209.52025,2026-03-02T08:41:00+00:00,0.12125000000000341,trailing_stop
GBPJPY,SELL,1.0,209.9315,209.88124999999997,209.71300000000002,2026-03-03T07:07:00+00:00,209.88124999999997,2026-03-03T07:59:00+00:00,0.05025000000003388,trailing_stop
GBPJPY,SELL,1.0,209.8725,209.82025,209.59500000000003,2026-03-03T07:08:00+00:00,209.82025,2026-03-03T08:10:00+00:00,0.05225000000001501,trailing_stop
GBPJPY,BUY,1.0,210.23000000000002,210.295,210.55100000000004,2026-03-04T07:30:00+00:00,210.295,2026-03-04T07:51:00+00:00,0.0649999999999693,trailing_stop
GBPJPY,BUY,1.0,210.3835,209.909,210.858,2026-03-04T07:31:00+00:00,209.909,2026-03-04T09:01:00+00:00,-0.47450000000000614,trailing_stop
GBPJPY,SELL,1.0,211.722,211.7115,211.54500000000002,2026-03-13T07:50:00+00:00,211.7115,2026-03-13T08:00:00+00:00,0.010500000000007503,trailing_stop
GBPJPY,SELL,1.0,211.949,211.73600000000002,211.57100000000003,2026-03-13T07:06:00+00:00,211.57100000000003,2026-03-13T08:03:00+00:00,0.3779999999999859,take_profit
GBPJPY,SELL,1.0,211.7785,211.66150000000002,211.54950000000002,2026-03-13T07:44:00+00:00,211.54950000000002,2026-03-13T08:03:00+00:00,0.228999999999985,take_profit
GBPJPY,SELL,1.0,210.91199999999998,210.8925,210.74499999999995,2026-03-16T07:14:00+00:00,210.8925,2026-03-16T07:41:00+00:00,0.019499999999965212,trailing_stop
GBPJPY,SELL,1.0,211.502,211.48725,211.04950000000002,2026-03-19T07:07:00+00:00,211.48725,2026-03-19T07:08:00+00:00,0.014750000000020691,trailing_stop
GBPJPY,SELL,1.0,211.3365,211.15675,211.002,2026-03-19T07:56:00+00:00,211.002,2026-03-19T08:04:00+00:00,0.33449999999999136,take_profit
GBPJPY,SELL,1.0,211.2965,211.09825,210.92200000000003,2026-03-19T07:57:00+00:00,210.92200000000003,2026-03-19T08:10:00+00:00,0.3744999999999834,take_profit
GBPJPY,BUY,1.0,212.6885,212.5025,212.8745,2026-03-20T07:46:00+00:00,212.5025,2026-03-20T10:00:00+00:00,-0.18600000000000705,trailing_stop
GBPJPY,BUY,1.0,212.89499999999998,212.70300000000003,213.08699999999993,2026-03-24T07:09:00+00:00,212.70300000000003,2026-03-24T08:04:00+00:00,-0.19199999999995043,trailing_stop
GBPJPY,BUY,1.0,212.934,212.70300000000003,213.16499999999996,2026-03-24T07:10:00+00:00,212.70300000000003,2026-03-24T08:04:00+00:00,-0.23099999999996612,trailing_stop
GBPJPY,BUY,1.0,213.0095,213.10750000000002,213.1965,2026-03-25T07:52:00+00:00,213.1965,2026-03-25T08:04:00+00:00,0.1869999999999834,take_profit
GBPJPY,BUY,1.0,213.0635,213.11150000000004,213.2425,2026-03-25T07:55:00+00:00,213.11150000000004,2026-03-25T08:06:00+00:00,0.04800000000003024,trailing_stop
GBPJPY,BUY,1.0,213.106,213.10675,213.31349999999998,2026-03-25T07:56:00+00:00,213.10675,2026-03-25T08:23:00+00:00,0.0007500000000106866,trailing_stop
GBPJPY,SELL,1.0,212.814,212.81,212.68099999999998,2026-03-26T07:11:00+00:00,212.81,2026-03-26T07:20:00+00:00,0.003999999999990678,trailing_stop
GBPJPY,SELL,1.0,211.67149999999998,211.57300000000004,211.49049999999997,2026-03-30T07:17:00+00:00,211.49049999999997,2026-03-30T07:24:00+00:00,0.1810000000000116,take_profit
GBPJPY,SELL,1.0,211.7285,211.5915,211.4575,2026-03-30T07:12:00+00:00,211.4575,2026-03-30T07:25:00+00:00,0.2709999999999866,take_profit
GBPJPY,SELL,1.0,211.7015,211.5945,211.42450000000002,2026-03-30T07:14:00+00:00,211.5945,2026-03-30T07:55:00+00:00,0.10699999999999932,trailing_stop
GBPJPY,BUY,1.0,211.06099999999998,211.14300000000003,211.20699999999994,2026-04-06T07:20:00+00:00,211.20699999999994,2026-04-06T07:36:00+00:00,0.14599999999995816,take_profit
