instrument,action,size,entry_price,stop_loss,take_profit,entry_time,exit_price,exit_time,pnl,exit_reason
GOLD,SELL,5.0,4066.04,4075.97,4058.096,2025-11-18T13:35:00+00:00,4075.97,2025-11-18T14:15:00+00:00,-49.64999999999918,stop_loss
GOLD,SELL,5.0,4080.4,4090.2614285714285,4072.5108571428573,2025-11-18T14:15:00+00:00,4072.5108571428573,2025-11-18T14:30:00+00:00,39.445714285714075,take_profit
GOLD,SELL,5.0,4074.99,4085.1557142857137,4066.8574285714285,2025-11-18T14:30:00+00:00,4066.8574285714285,2025-11-18T14:50:00+00:00,40.66285714285641,take_profit
GOLD,BUY,5.0,4074.42,4060.5096428571433,4085.5482857142856,2025-11-19T16:25:00+00:00,4060.5096428571433,2025-11-19T17:00:00+00:00,-69.55178571428405,stop_loss
GOLD,BUY,5.0,4060.85,4046.4703571428568,4072.3537142857144,2025-11-19T17:00:00+00:00,4072.3537142857144,2025-11-19T17:25:00+00:00,57.51857142857261,take_profit
GOLD,SELL,5.0,4087.81,4095.7417857142855,4081.4645714285716,2025-11-20T13:00:00+00:00,4081.4645714285716,2025-11-20T13:30:00+00:00,31.727142857141644,take_profit
GOLD,BUY,5.0,4048.99,4035.525357142857,4059.761714285714,2025-11-20T16:55:00+00:00,4059.761714285714,2025-11-20T17:20:00+00:00,53.858571428570485,take_profit
GOLD,SELL,5.0,4084.38,4093.318928571429,4077.228857142857,2025-11-20T19:25:00+00:00,4077.228857142857,2025-11-20T20:10:00+00:00,35.75571428571493,take_profit
GOLD,SELL,5.0,4078.35,4086.918214285714,4071.4954285714284,2025-11-21T14:00:00+00:00,4071.4954285714284,2025-11-21T14:15:00+00:00,34.27285714285745,take_profit
GOLD,SELL,5.0,4082.6,4091.408214285714,4075.5534285714284,2025-11-21T16:45:00+00:00,4091.408214285714,2025-11-21T16:50:00+00:00,-44.041071428571286,stop_loss
GOLD,SELL,5.0,4093.92,4103.34,4086.384,2025-11-21T16:50:00+00:00,4086.384,2025-11-21T17:10:00+00:00,37.68000000000029,take_profit
