instrument,action,size,entry_price,stop_loss,take_profit,entry_time,exit_price,exit_time,pnl,exit_reason
GOLD,SELL,0.5533639610038268,4066.04,4075.97,4058.096,2025-11-18T13:35:00+00:00,4075.97,2025-11-18T14:15:00+00:00,-5.49490413276791,trailing_stop
GOLD,SELL,0.5508105315999055,4080.4,4078.280714285714,4072.5108571428573,2025-11-18T14:15:00+00:00,4078.280714285714,2025-11-18T14:25:00+00:00,1.1673248908979457,trailing_stop
GOLD,SELL,0.5516896546722355,4074.85,4072.971428571429,4066.847714285714,2025-11-18T14:25:00+00:00,4072.971428571429,2025-11-18T14:45:00+00:00,1.03638842270542,trailing_stop
GOLD,BUY,0.5518623421570128,4074.42,4060.5096428571433,4085.5482857142856,2025-11-19T16:25:00+00:00,4060.5096428571433,2025-11-19T17:00:00+00:00,-7.676602273097492,trailing_stop
GOLD,BUY,0.5528558043533945,4060.85,4063.2701785714285,4072.3537142857144,2025-11-19T17:00:00+00:00,4063.2701785714285,2025-11-19T17:10:00+00:00,1.3380097707859806,trailing_stop
GOLD,BUY,0.5517906612901278,4069.7799999999997,4071.445357142857,4080.8114285714287,2025-11-19T17:20:00+00:00,4071.445357142857,2025-11-19T17:40:00+00:00,0.9189285191415083,trailing_stop
GOLD,SELL,0.5494580509708009,4087.81,4087.775892857143,4081.4645714285716,2025-11-20T13:00:00+00:00,4087.775892857143,2025-11-20T13:20:00+00:00,0.01874044423839557,trailing_stop
GOLD,SELL,0.5494224805566553,4088.09,4071.3523214285715,4081.494285714286,2025-11-20T13:20:00+00:00,4071.3523214285715,2025-11-20T13:30:00+00:00,9.196056879474309,trailing_stop
GOLD,BUY,0.5557501436493102,4048.99,4051.167678571429,4059.761714285714,2025-11-20T16:55:00+00:00,4051.167678571429,2025-11-20T17:15:00+00:00,1.2102451788937854,trailing_stop
GOLD,SELL,0.5518828409688042,4078.35,4077.384107142857,4071.4954285714284,2025-11-21T14:00:00+00:00,4077.384107142857,2025-11-21T14:05:00+00:00,0.5330596940715485,trailing_stop
GOLD,SELL,0.5522151693625037,4076.33,4074.8475,4069.646,2025-11-21T14:10:00+00:00,4074.8475,2025-11-21T14:15:00+00:00,0.8186589885799519,trailing_stop
GOLD,SELL,0.5514573207936891,4082.6,4091.408214285714,4075.5534285714284,2025-11-21T16:45:00+00:00,4091.408214285714,2025-11-21T16:50:00+00:00,-4.857354250976683,trailing_stop
GOLD,SELL,0.5510798539872975,4081.4300000000003,4077.8689285714286,4076.6317142857147,2025-11-24T13:15:00+00:00,4077.8689285714286,2025-11-24T13:40:00+00:00,1.9624347228956418,trailing_stop
GOLD,SELL,0.5498251479185992,4092.35,4091.5344642857144,4085.558857142857,2025-11-24T15:10:00+00:00,4091.5344642857144,2025-11-24T15:25:00+00:00,0.44840204473991896,trailing_stop
GOLD,SELL,0.5499120799509325,4092.0699999999997,4100.65,4085.2059999999997,2025-11-24T15:30:00+00:00,4100.65,2025-11-24T18:35:00+00:00,-4.718245645978961,trailing_stop
GOLD,BUY,0.5463092689886739,4115.17,4117.5733928571435,4123.212571428571,2025-11-25T14:45:00+00:00,4117.5733928571435,2025-11-25T14:50:00+00:00,1.3129957948786355,trailing_stop
GOLD,SELL,0.5417921785614547,4150.57,4149.8325,4143.526,2025-11-25T17:05:00+00:00,4149.8325,2025-11-25T17:15:00+00:00,0.3995717316886786,trailing_stop
GOLD,SELL,0.5417780660251545,4151.01,4159.47,4144.242,2025-11-25T17:20:00+00:00,4159.47,2025-11-25T17:30:00+00:00,-4.583442438572828,trailing_stop
