instrument,action,size,entry_price,stop_loss,take_profit,entry_time,exit_price,exit_time,pnl,exit_reason
BTCUSD,SELL,1.8831969510145339,91027.1,91186.40357142857,90549.1892857143,2025-11-18T12:10:00+00:00,91186.40357142857,2025-11-18T12:15:00+00:00,-300.0,trailing_stop
BTCUSD,BUY,1.6229894076107723,91707.65,91525.57857142856,92253.86428571428,2025-11-18T12:40:00+00:00,91525.57857142856,2025-11-18T12:50:00+00:00,-295.5,trailing_stop
BTCUSD,SELL,1.5442124410254603,90988.3,91176.78928571429,90422.83214285714,2025-11-18T13:35:00+00:00,91176.78928571429,2025-11-18T13:40:00+00:00,-291.0675,trailing_stop
BTCUSD,SELL,1.6334937428780067,91135.65,91311.16428571429,90609.10714285713,2025-11-19T14:05:00+00:00,91311.16428571429,2025-11-19T14:10:00+00:00,-286.7014875,trailing_stop
BTCUSD,SELL,1.4386454569892655,91061.9,91258.19642857142,90473.0107142857,2025-11-19T14:25:00+00:00,91258.19642857142,2025-11-19T14:30:00+00:00,-282.4009651875,trailing_stop
BTCUSD,BUY,0.9406544226897513,92157.45,92187.64285714286,93044.59285714285,2025-11-19T15:05:00+00:00,92187.64285714286,2025-11-19T15:15:00+00:00,28.401044605069202,trailing_stop
BTCUSD,SELL,0.9258040351074935,90963.15,90680.95892857143,90060.39642857142,2025-11-20T14:00:00+00:00,90680.95892857143,2025-11-20T14:05:00+00:00,261.2536325998699,trailing_stop
BTCUSD,SELL,0.8414558048121272,90546.25,90543.31964285714,89539.03214285715,2025-11-20T14:05:00+00:00,90543.31964285714,2025-11-20T14:10:00+00:00,2.4657660280329714,trailing_stop
BTCUSD,SELL,0.6945410910680652,90308.65,90715.46071428571,89088.21785714285,2025-11-20T15:10:00+00:00,90715.46071428571,2025-11-20T15:20:00+00:00,-282.5467573581821,trailing_stop
BTCUSD,SELL,1.5335615318492553,85309.4,85190.53928571429,84764.96428571429,2025-11-21T07:15:00+00:00,85190.53928571429,2025-11-21T07:20:00+00:00,182.28021907668582,trailing_stop
BTCUSD,SELL,1.563085424271163,85199.6,85188.04999999999,84660.20000000001,2025-11-21T07:20:00+00:00,85188.04999999999,2025-11-21T07:25:00+00:00,18.053636650359227,trailing_stop
BTCUSD,SELL,0.6970539895526657,83367.4,83296.3375,82156.675,2025-11-21T07:30:00+00:00,83296.3375,2025-11-21T07:35:00+00:00,49.53439913258631,trailing_stop
BTCUSD,SELL,1.6394893680803078,83765.3,83655.96964285715,83249.18214285714,2025-11-22T10:20:00+00:00,83655.96964285715,2025-11-22T10:25:00+00:00,179.24595814413382,trailing_stop
BTCUSD,SELL,1.6462662683047802,83621.85,83599.48214285714,83102.95714285715,2025-11-22T10:25:00+00:00,83599.48214285714,2025-11-22T10:40:00+00:00,36.823448708552014,trailing_stop
BTCUSD,SELL,1.6582594785165865,83485.15,83657.19642857142,82969.01071428572,2025-11-22T10:45:00+00:00,83657.19642857142,2025-11-22T10:55:00+00:00,-285.29762092349415,trailing_stop
BTCUSD,BUY,2.176073270929301,86093.35,86100.13571428572,86454.03571428572,2025-11-23T08:55:00+00:00,86100.13571428572,2025-11-23T09:05:00+00:00,14.766211481296923,trailing_stop
BTCUSD,BUY,2.1754952462759847,86184.1,86204.75714285715,86526.65714285715,2025-11-23T09:10:00+00:00,86204.75714285715,2025-11-23T09:35:00+00:00,44.93951608736905,trailing_stop
BTCUSD,BUY,2.1798584979942968,86217.75,86353.78571428571,86581.73571428572,2025-11-23T09:35:00+00:00,86353.78571428571,2025-11-23T09:40:00+00:00,296.53860781642936,trailing_stop
BTCUSD,SELL,1.725776674185176,86533.15,86305.76607142857,86035.35357142857,2025-11-24T09:05:00+00:00,86305.76607142857,2025-11-24T09:15:00+00:00,392.4138800131453,trailing_stop
BTCUSD,SELL,1.7189254984848918,86233.15,86007.30892857144,85723.09642857143,2025-11-24T09:15:00+00:00,86007.30892857144,2025-11-24T09:20:00+00:00,388.20397628369346,trailing_stop
BTCUSD,SELL,1.646704122797842,86002.75,85908.40535714285,85459.71785714285,2025-11-24T09:20:00+00:00,85908.40535714285,2025-11-24T09:25:00+00:00,155.35771235675534,trailing_stop
BTCUSD,SELL,2.269260439423157,87394.4,87526.77857142857,86997.26428571426,2025-11-25T07:50:00+00:00,87526.77857142857,2025-11-25T08:20:00+00:00,-300.40145517022205,trailing_stop
BTCUSD,SELL,2.261656728046629,87220.85,87195.32500000001,86829.50000000001,2025-11-25T08:45:00+00:00,87195.32500000001,2025-11-25T08:50:00+00:00,57.728787983377046,trailing_stop
BTCUSD,SELL,2.2324874327104065,87133.6,87060.86428571428,86734.8142857143,2025-11-25T08:50:00+00:00,87060.86428571428,2025-11-25T08:55:00+00:00,162.38156805208862,trailing_stop
BTCUSD,BUY,2.2690464484713138,87906.85,87817.64642857143,88174.46071428571,2025-11-26T07:55:00+00:00,87817.64642857143,2025-11-26T08:00:00+00:00,-202.40704694096283,trailing_stop
BTCUSD,SELL,2.261969619999655,87287.05,87373.78214285715,87026.85357142858,2025-11-26T09:05:00+00:00,87373.78214285715,2025-11-26T09:10:00+00:00,-196.18547222033192,trailing_stop
BTCUSD,SELL,2.2396155990067577,87282.3,87142.45357142857,87036.87857142858,2025-11-26T09:15:00+00:00,87142.45357142857,2025-11-26T09:20:00+00:00,313.2022428939567,trailing_stop
BTCUSD,BUY,2.1704155805285987,91508.2,91718.21071428571,91733.1357142857,2025-11-27T08:50:00+00:00,91718.21071428571,2025-11-27T09:15:00+00:00,455.81052636365786,trailing_stop
